Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,22.727301,23.481800,22.545500,22.945400,21.483192,22347050
2016-01-07,22.636400,22.990900,22.509100,22.509100,21.074703,19177620
2016-01-08,22.681801,22.954500,22.518200,22.518200,21.083221,12058310
2016-01-11,22.645500,22.754601,22.209101,22.254601,20.836420,12813130
2016-01-12,22.545500,22.763599,22.190901,22.354500,20.929949,12122000
2016-01-13,22.600000,22.727301,21.872700,22.009100,20.606560,13028840
2016-01-14,22.090900,22.345400,21.509100,22.327299,20.904488,15628250
2016-01-15,21.909100,22.000000,21.554600,21.745399,20.359667,20225040
2016-01-18,21.818199,21.881800,21.490900,21.490900,20.121380,7291790
2016-01-19,21.845400,21.972700,21.127300,21.272699,19.917088,11123640
2016-01-20,20.909100,21.109100,20.736401,20.972700,19.636209,24574550
2016-01-21,20.909100,21.336399,20.863600,21.018200,19.678808,19718160
2016-01-22,21.227301,21.500000,21.100000,21.218201,19.866062,10529640
2016-01-26,21.218201,21.445400,20.836399,21.445400,20.078785,12267420
2016-01-27,21.336399,21.836399,21.118200,21.527300,20.155464,15512970
2016-01-28,21.763599,21.881800,21.454500,21.672701,20.291601,11010670
2016-01-29,21.909100,22.681801,21.818199,22.681801,21.236399,20379480
2016-02-01,22.463600,23.154600,22.227301,23.154600,21.693415,12839200
2016-02-02,22.236401,22.272699,21.136400,21.490900,20.134703,49834840
2016-02-03,21.627300,22.127300,21.590900,22.009100,20.620195,25423640
2016-02-04,22.363600,22.963600,21.645500,22.327299,20.918320,25161840
2016-02-05,22.272699,22.863600,22.109100,22.545500,21.122749,15844620
2016-02-10,22.545500,22.681801,22.136400,22.654600,21.224966,8041770
2016-02-11,22.209101,22.336399,21.736401,21.981800,20.594620,11754490
2016-02-12,22.145500,22.200001,21.745399,22.154600,20.756512,11210870
2016-02-15,22.536400,22.581800,22.081800,22.081800,20.688313,7214130
2016-02-16,22.136400,22.990900,21.963600,22.618200,21.190863,20995700
2016-02-17,22.909100,23.509100,22.409100,22.863600,21.420782,27955620
2016-02-18,22.618200,22.636400,22.136400,22.400000,20.986431,20513460
2016-02-19,21.700001,22.209101,21.600000,22.063601,20.671261,13654520
2016-02-22,22.681801,23.090900,22.500000,22.954500,21.505938,28256250
2016-02-23,22.754601,23.181801,22.472700,22.627300,21.199390,13360380
2016-02-24,22.309099,22.590900,21.954500,22.436399,21.020535,11666490
2016-02-25,22.218201,22.854500,22.063601,22.454500,21.037493,11712690
2016-02-26,22.609100,22.890900,22.290899,22.454500,21.037493,10356940
2016-02-29,22.818199,23.172701,22.545500,23.090900,21.633732,23173700
2016-03-01,23.309099,24.163601,23.181801,24.163601,22.653454,24613490
2016-03-02,24.181801,24.809099,23.845400,24.727301,23.181925,26861560
2016-03-03,25.000000,27.245399,24.990900,27.172701,25.474499,46126520
2016-03-04,27.172701,29.490900,27.172701,28.500000,26.718843,55320320
2016-03-07,28.500000,28.545500,27.545500,28.372700,26.599501,20142980
2016-03-08,28.254601,29.436399,28.018200,29.009100,27.196125,21247820
2016-03-09,29.354500,29.718201,28.045500,28.045500,26.292746,25030060
2016-03-10,28.718201,29.545500,27.918200,29.145500,27.324003,29371320
2016-03-11,28.927299,29.990900,28.900000,29.390900,27.554068,17487800
2016-03-14,29.563601,30.181801,29.127300,29.254601,27.426285,17554570
2016-03-15,28.181801,28.690901,27.345400,27.954500,26.207436,24635380
2016-03-16,27.545500,27.590900,26.036400,27.127300,25.431932,29975440
2016-03-17,29.636400,30.436399,28.445400,30.090900,28.210320,41051340
2016-03-18,30.036400,30.272699,29.381800,30.172701,28.287006,18835080
2016-03-21,30.172701,30.509100,29.600000,30.181801,28.295540,15534750
2016-03-22,30.090900,30.090900,29.245399,29.409100,27.571125,15321350
2016-03-23,28.936399,29.090900,28.036400,28.472700,26.693251,12835570
2016-03-24,27.636400,28.218201,27.636400,28.172701,26.411999,10599600
2016-03-28,28.172701,29.381800,28.172701,28.872700,27.068249,16531570
2016-03-29,28.909100,29.536400,28.236401,29.045500,27.230257,14536280
2016-03-30,29.272699,29.627300,28.990900,29.209101,27.383631,13788830
2016-03-31,28.372700,28.372700,28.372700,28.372700,26.599501,80190
2016-04-01,28.554600,28.554600,28.554600,28.554600,26.784195,331540
2016-04-04,28.245399,28.427299,27.436399,27.554600,25.846195,43560
2016-04-05,27.409100,28.036400,26.772699,27.609100,25.897314,98670
2016-04-06,27.227301,27.509100,26.654600,26.818199,25.155451,49170
2016-04-07,27.181801,27.500000,26.863600,27.109100,25.428314,29700
2016-04-08,27.909100,29.072701,27.818199,28.818199,27.031446,18592860
2016-04-11,29.272699,29.790899,28.881800,28.963600,27.167833,14190
